San Pedro Atacama ,1/12/2018,https://photos.app.goo.gl/ue2i1BqkvfLpoEwP8
La Rochelle ,25/11/2018,https://photos.app.goo.gl/rnArYUcepB1DDtPTA
Angoulême ,22/11/2018,https://photos.app.goo.gl/teni5DgYQ9UhuFKT7
Ile Maurice,17/11/2018,https://photos.app.goo.gl/GJnQi3RZWdxD5deT6
Dubai,16/11/2018,https://photos.app.goo.gl/L1dxHJfeW3v4mgSp7
Jarnac,10/11/2018,https://photos.app.goo.gl/kMzdLR5QG4ATkKze9
World Tour ,2/12/2018,https://photos.app.goo.gl/TELYgXdHEeUAfhvE6
Lausanne ,28/10/2018,https://photos.app.goo.gl/swqA4swaqbW1QVEp9
Ibiza,25/10/2018,https://photos.app.goo.gl/jjwDkgQ4KPut2Rwi8
Roc Azur,15/10/2018,https://photos.app.goo.gl/3sAbyDVDjVxWJWDq8
Jarnac,7/10/2018,https://photos.app.goo.gl/ZSwFzcbuh6sKdYdi7
Biscarrosse,23/9/2018,https://photos.app.goo.gl/DaDZgD8ZhALD33f78
Royan ,15/9/2018,https://photos.app.goo.gl/AKCx9hTSpwY4Uqph9
Baudreix,15/9/2018,https://photos.app.goo.gl/cVUiMcayEi7N5NuG6
Saint Jean de Luz,8/9/2018,https://photos.app.goo.gl/aPM9hEryC1EPnFqd6
Saint Pardoux ,8/9/2018,https://photos.app.goo.gl/WvHRP87Mur1Sh6Xt7
Vichy ,26/8/2018,https://photos.app.goo.gl/DydsrSAscXEtfJa78
Cognac,26/8/2018,https://photos.app.goo.gl/fJcZb7NuYtkEzrq18
Passy Mont Blanc,25/8/2018,https://photos.app.goo.gl/G7kmHLiHVDwok28TA
ThorXTri ,18/8/2018,https://photos.app.goo.gl/vf5UzNXpmUynNMoP9
Embrun,15/8/2018,https://photos.app.goo.gl/ghQGER37YPrXuS619
TriathBreizh ,22/7/2018,https://photos.app.goo.gl/YyTaudwDjCvdzrwv5
Gray ,22/7/2018,https://photos.app.goo.gl/HKB6XFe61d94GdZE8
Montendre ,16/7/2018,https://photos.app.goo.gl/thu3t5oA6esKYaw79
Fyn ,12/7/2018,https://photos.app.goo.gl/9Do9F7kSUETXiVyT9
Etape Tour ,8/7/2018,https://photos.app.goo.gl/XQMoFc5S9LBiLCjK8
Saint Martin Ardêche ,7/7/2018,https://photos.app.goo.gl/vPwvoQf6Mi3tS2FB8
Guérêt ,1/7/2018,https://photos.app.goo.gl/GGUuHbT5nHB8hA6z5
Nice ,24/6/2018,https://photos.app.goo.gl/db4p5vdvUESr9Y4g6
Côte Vermeille ,23/6/2018,https://photos.app.goo.gl/byHei22Sfk6Q8og9A
Saintes,17/6/2018,https://photos.app.goo.gl/KjdRD14zKGau66JJA
Cadarsac ,10/6/2018,https://photos.app.goo.gl/GrPuqLDTMULJcdYH9
Vassivière ,8/6/2018,https://photos.app.goo.gl/J1LhyRg4oGvApsgu5
Ventoux ,3/6/2018,https://photos.app.goo.gl/r51kcETZe1TiQ5Sg7
Frenchman/frenchwoman ,26/5/2018,https://photos.app.goo.gl/9K8S1KZUyEBKu9jX7
Lacanau ,13/5/2018,https://photos.app.goo.gl/UWPKYr5iDEgF5VYJ8
Perigueux ,25/2/2018,https://photos.app.goo.gl/Uh3H2QcJU6aeeeIf1
La Rochelle,27/11/2017,https://photos.app.goo.gl/GpP2u8kvC3JagZc03
Jarnac,11/11/2017,https://photos.app.goo.gl/Vdlq4nNkcDPTXza43
Cannes ,5/11/2017,https://photos.app.goo.gl/pBD8JGWuDa8L5I2q1
Dublin,28/10/2017,https://photos.app.goo.gl/O8T1pOzQrfqMgqUt1
Royan,14/10/2017,https://photos.app.goo.gl/jinm2HeGdofb2s3c2
Salles sur Verdon,8/10/2017,https://photos.app.goo.gl/zoMhi8oId9W69cD43
Saint Yrieix,8/10/2017,https://fr-fr.facebook.com/LaurineRaud24/
Narbonne,1/10/2017,https://photos.app.goo.gl/Em70o6uyPljV1nZm1
Rimouski,1/10/2017,https://photos.app.goo.gl/Lg3rwoiIkjVxZNpW2
Guidel,24/9/2017,https://photos.app.goo.gl/fkdwPMllQq9Wrluy2
Biscarrosse,24/9/2017,https://photos.app.goo.gl/ZdE7FjFwSi4ZMVC82
Saint Jean de Luz,9/9/2017,https://photos.app.goo.gl/VWI6kXrYZ6G5MGSb2
Royan,9/9/2017,https://photos.app.goo.gl/eOYlz4IWA9IZCFvt1
Arques,9/9/2017,/index.php?option=com_content&amp
Cognac,27/8/2017,https://photos.app.goo.gl/vD1rq5Sk4gUg7KGi1
Coeur d'Alene,27/8/2017,https://goo.gl/photos/fCmjzPi5FABYmCck7
Embrun,15/8/2017,https://goo.gl/photos/UYkfiPQSNhHt9cBn8
Lavandou,6/8/2017,https://goo.gl/photos/qNqqRPMkxgrRPdqPA
Plouescat,6/8/2017,https://goo.gl/photos/Ma1XxG6sqX4wf2Gi6
Eidfjord,4/8/2017,https://goo.gl/photos/4DrFYAZP6VaDi7wn7
Alpe Huez,28/7/2017,https://photos.app.goo.gl/eoOcUSiyY2fsEic03
Bergerac,23/7/2017,https://goo.gl/photos/e9UA8FsRF5Tvsxom9
Montendre,16/7/2017,https://photos.app.goo.gl/1KA1dcXK1qkKi0MH2
Roth,9/7/2017,https://goo.gl/photos/BFGzGGeR6iZupqTK7
Les Angles,8/7/2017,https://photos.app.goo.gl/ruz20VTgw0sxIq9k1
Verruyes,2/7/2017,https://goo.gl/photos/AxLF9ztHVKFnZ6fLA
Cadarsac,2/7/2017,https://goo.gl/photos/dxoetmyzHVobTBKRA
Port Louis,25/6/2017,https://goo.gl/photos/4JXazdc5sRnuZpfE9
Collioure,24/6/2017,https://goo.gl/photos/E8VDf7wvPgkM1QWv7
Terres Blanches,18/6/2017,https://goo.gl/photos/GvGwqUNi42fMe7MB9
Vassivière,17/6/2017,https://goo.gl/photos/c97pXgw8EpjxHfeb6
Ronce les Bains,17/6/2017,https://goo.gl/photos/TRVmE4BAGq2ZBbQ1A
Mouthiers,10/6/2017,https://goo.gl/photos/DApwyrjqW4iTDVo4A
La Rochelle,11/6/2017,https://goo.gl/photos/K5cxnT4bvsTa7gtW9
Noimoutier,4/6/2017,https://goo.gl/photos/3B5TUtzzwakgxnkE6
Pierrelatte,3/6/2017,https://photos.app.goo.gl/PRoau8fKGDNpYI4L2
Mimizan,4/6/2017,https://goo.gl/photos/UyHAXXYFR4rN98z57
Hourtin,27/5/2017,https://goo.gl/photos/ygUdmP1bBoG6SkkS9
Bratislava,27/5/2017,https://goo.gl/photos/TopT7JJ4Bj2KyjUB7
Saintes,21/5/2017,https://goo.gl/photos/wF7KjULnLcqwbdBF7
Saint-Cyr,14/5/2017,https://goo.gl/photos/sds7xuWDuYK4WqZc9
Mosnac,14/5/2017,https://goo.gl/photos/VW5CHER4djmQnTJ58
Lacanau,7/5/2017,https://goo.gl/photos/gFz2DNVsjmCbcZFC7
Sireuil,1/5/2017,https://goo.gl/photos/kuZeM6s8Ac4byWgDA
Vinaros,30/4/2017,https://goo.gl/photos/RwbJBLsFEQUtLPnTA
Dirac,23/4/2017,https://goo.gl/photos/Fh7aoHLNpgccwALWA
Angers,22/4/2017,https://goo.gl/photos/kPPYsMBbFisA8dEM9
Villeneuve/ Lot,9/4/2017,https://goo.gl/photos/3Qkgm3bDKWgRELXVA
Angoulême,8/4/2017,https://goo.gl/photos/5LzVuKfQsXx9jcx67
Puymoyen,2/4/2017,https://goo.gl/photos/aTtYZTwgiAfu9Ng48
Bondoufle,2/4/2017,https://goo.gl/photos/97i1K1Fv4zQ25Uzy6
Trail Maroc,28/3/2017,https://goo.gl/photos/HGipLx1qvpcmgTvJA
Jonzac,26/3/2017,https://goo.gl/photos/a2q7r7zJULJuXWRW7
TUA,19/3/2017,https://goo.gl/photos/dJdeCbcgz6wQajFV6
Saintes,19/3/2017,https://goo.gl/photos/kkWJ74wUpxZ3ZpQp7
Rochebeaucourt,18/3/2017,https://goo.gl/photos/MLky3ciJKmKLmhe18
Nontron,5/3/2017,https://goo.gl/photos/jQcr74U3QLHn8Rmy6
France Cross,25/2/2017,https://goo.gl/photos/8YS2NTVLpapt4dMT7
Ronce les Bains,12/2/2017,https://goo.gl/photos/6HPQQBS611MqLEGB6
Mortagne,29/1/2017,https://goo.gl/photos/PUJL5uMZfbfy2cmG6
Miosson,29/1/2017,https://goo.gl/photos/UxC66jHXBQ444t8e6
Miami,29/1/2017,https://goo.gl/photos/KJRYJjayhrKSuBN29
La Rochelle ,27/11/2016,https://goo.gl/photos/z3rWoboEbWBwDLqd8
Fortaleza,20/11/2016,https://goo.gl/photos/ubPXZ6fmxAmZZR5a7
Xiamen,13/11/2016,https://goo.gl/photos/C7htN8sfYcwjWpxZ8
Nice-Cannes,13/11/2016,https://goo.gl/photos/CyDbLwDwMSkSyExH7
Jarnac,12/11/2016,https://goo.gl/photos/Zp4RKDWZY9w31XFM8
Les Templiers,22/10/2016,https://goo.gl/photos/oDLGiksuouSpXL6L6
GRR 2016,22/10/2016,https://goo.gl/photos/2VmX1C7GxrLBrrr96
Hefei Tri,16/10/2016,https://goo.gl/photos/eU9URMsNJMkcAB7o6
Roc Azur,9/10/2016,https://goo.gl/photos/NfAqBvUVQxSzsJgd6
Roche/Yon,8/10/2016,https://goo.gl/photos/oAWxaNK3ZpjhHhBK8
Voh,8/10/2016,https://goo.gl/photos/FLJDiHsw5jUH9L3z8
Coutras,2/10/2016,https://goo.gl/photos/DzkcQXdNaXFtUHQD6
Calella,2/10/2016,https://goo.gl/photos/3DQoMyzp2kgsv1Hb7
Chasseneuil ,18/9/2016,https://goo.gl/photos/UzLhtbpX5MPzEUsJ8
Rochefort ,18/9/2016,https://goo.gl/photos/N67gn8xw1GFo33Fy6
Saint Jean de Luz ,10/9/2016,https://goo.gl/photos/UkVW4Q8KcCXqUTUb7
Médoc ,10/9/2016,https://goo.gl/photos/DntQoanJKQfF2Bpk8
Royan,10/9/2016,https://goo.gl/photos/ykHE9eVP2DvRakwt5
Moloolaba,4/9/2016,https://goo.gl/photos/fvJR2yXUpsKp6AfP9
Cognac,28/8/2016,https://goo.gl/photos/qjJKFT4aTqs1zpB89
Vichy,28/8/2016,https://goo.gl/photos/2wTDWzrAGu8Y8fZv5
Rochefoucauld,21/8/2016,https://goo.gl/photos/jj5AbUKSTbAadRK18
Paul Poux,20/8/2016,https://goo.gl/photos/5bjdxLGZtnNHJPiJ7
Embrunman,15/8/2016,https://goo.gl/photos/VGYRusfz6QxiSDaU6
Plouescat,31/7/2016,https://goo.gl/photos/eMdyHetkEc6duXM46
Villeneuve sur Lot,31/7/2016,https://goo.gl/photos/B2fm3XnCnUSGVfYP7
Alpe Tri,28/7/2016,https://goo.gl/photos/d98AwVZANLWH1B3C6
Bergerac,24/7/2016,https://goo.gl/photos/9WnGjhNNsBYPT8hJ8
France Aquathlon,16/7/2016,https://goo.gl/photos/q8twRxzKjfXfr7ms6
Etape du Tour,10/7/2016,https://goo.gl/photos/w78bJQTvBVbFJt9DA
Altriman,10/7/2016,https://goo.gl/photos/g7FPedhsuVQGpwkk9
Montendre Tri,3/7/2016,https://goo.gl/photos/3doxHaTzKosg6bns5
Cadarsac Tri,3/7/2016,https://goo.gl/photos/xAB415oGUM1QXcyv5
Raid Urbain,3/7/2016,https://goo.gl/photos/Qdug1p4pR6mqE7Fn7
Nailloux Tri,2/7/2016,https://goo.gl/photos/AfcqcQn7fTAubq188
Europe Aquathlon,25/6/2016,https://goo.gl/photos/NbS3BFiSYVq6e3hY9
Baudreix Tri,19/6/2016,https://goo.gl/photos/1zFd4JWi9ELP3NWt9
Mesquer,12/6/2016,https://goo.gl/photos/uxDF32bed3EFrz5V8
IM Nice,5/6/2016,https://goo.gl/photos/G6CvNWCXuttzJutm6
France Jeunes Tri,5/6/2016,https://goo.gl/photos/5e2TBCJcsfSrinGV8
IM Médoc,29/5/2016,https://goo.gl/photos/brajTfKy6cMtb9EfA
St Cyr,7/5/2016,https://goo.gl/photos/W1HCX35umzgzwWbd6
Lacanau,7/5/2016,https://goo.gl/photos/yVNAkt4bz8oojjo56
Saintes,22/5/2016,https://goo.gl/photos/o3D2FG8i9XCsoQRb7
Rochebeaucourt,19/3/2016,https://goo.gl/photos/CGoMtDZica3XsDgZ8
WattBike,6/3/2016,https://goo.gl/photos/exFcuPbqDvuH5eCY6